ID,SMILES,Total_Score,pKd,k_off,SA,MW,QED,LogP
mol_1694,"NCC1CNC(O)C(CC(O)O)C1",0.4979,5.538,1.7018,4.55,190.24,0.338,-1.81
mol_1695,"CCC1NNCCC1C",0.4978,5.522,1.7343,4.34,128.22,0.548,0.90
mol_1696,"N=C(O)N=CC1CCCCC1",0.4977,5.493,1.7921,3.33,154.21,0.441,2.13
mol_1697,"CCNC(C)=N",0.4976,5.493,1.7927,3.25,86.14,0.355,0.59
mol_1698,"CC(O)C1C=CNCCC1",0.4975,5.519,1.7392,4.32,141.21,0.568,0.88
mol_1699,"CC(C)CNN",0.4973,5.492,1.7945,2.77,88.15,0.371,0.11
mol_1700,"NC1=C=C2CCCCC2=CN1",0.4972,5.525,1.7287,4.40,148.21,0.509,1.37
mol_1701,"NC(O)C1CC=CCCC1",0.4972,5.492,1.7948,3.72,141.21,0.423,1.01
mol_1702,"NC1=CC=CNC(C(F)(F)F)C1",0.4972,5.513,1.7527,4.25,178.16,0.586,1.27
mol_1703,"CC1CCC(N)C1",0.4972,5.492,1.7950,3.05,99.18,0.484,1.13
mol_1704,"C1CC2=C3C(CNNC3C1)CS2",0.4970,5.559,1.6619,4.84,182.29,0.590,1.26
mol_1705,"CCC1NCNCC1C",0.4970,5.520,1.7377,4.35,128.22,0.539,0.55
mol_1706,"CC(=O)C1NN=CCC1C(O)O",0.4970,5.548,1.6828,4.70,172.18,0.459,-1.15
mol_1707,"N=NC1CCCCC1",0.4970,5.491,1.7962,2.97,112.18,0.505,2.35
mol_1708,"CCC1CCNC(=O)N1",0.4969,5.491,1.7962,3.50,128.17,0.529,0.47
mol_1709,"NC1C=NC(N)C1",0.4968,5.592,1.5994,5.29,99.14,0.412,-0.93
mol_1710,"CN(O)C1CCCC(C)(O)C1",0.4968,5.491,1.7969,3.97,159.23,0.561,1.00
mol_1711,"CC1NC(O)C(CC2CCNC3=NC(C4CCCCC4)CN32)C1N",0.4968,5.587,1.6080,5.23,335.50,0.607,0.61
mol_1712,"CCCCl",0.4967,5.491,1.7973,2.37,78.54,0.418,1.64
mol_1713,"CNC(=O)C1CC=C(OC)CC1C(O)O",0.4965,5.495,1.7883,4.06,215.25,0.560,-0.40
mol_1714,"CCCC(CO)C(N)=CO",0.4965,5.490,1.7987,3.82,145.20,0.511,0.75
mol_1715,"NC1=CCC(Cl)CC1",0.4964,5.510,1.7578,4.24,131.61,0.497,1.62
mol_1716,"CC1NC2NCCNC2C2C3CCCCC3CNN12",0.4964,5.586,1.6114,5.22,265.41,0.489,-0.18
mol_1717,"CNNC1NC(OC)CCC1N",0.4964,5.563,1.6530,4.92,174.25,0.401,-1.28
mol_1718,"CCCCCCNC1=C(C2CC(O)NN=C2N)C=CNC1N",0.4964,5.562,1.6553,4.90,308.43,0.369,0.01
mol_1719,"CC1CC(C)C(C)(C2NCNC(N)N2)C1",0.4963,5.580,1.6217,5.15,212.34,0.507,0.37
mol_1720,"CCCl",0.4962,5.489,1.8002,2.38,64.52,0.372,1.25
mol_1721,"NCC=CCC1CC=C(Cl)CC1",0.4960,5.489,1.8011,3.82,185.70,0.673,2.81
mol_1722,"CC1CCC2=C(N)NC=CC2C1",0.4960,5.516,1.7452,4.33,164.25,0.572,1.71
mol_1723,"CC(=O)CN",0.4960,5.489,1.8013,2.31,73.09,0.456,-0.47
mol_1724,"CC(=O)CN",0.4960,5.489,1.8013,2.31,73.09,0.456,-0.47
mol_1725,"CC(=O)CN",0.4960,5.489,1.8013,2.31,73.09,0.456,-0.47
mol_1726,"CC1N=C=NC(C(O)CCOC2CC=C(O)CC2)C(C)C1C",0.4957,5.608,1.5704,5.55,308.42,0.820,2.97
mol_1727,"C=C=C(N)C(O)NC(O)NCC",0.4956,5.560,1.6604,4.89,173.22,0.255,-1.59
mol_1728,"CC1CC(=N)CC(O)C1O",0.4956,5.523,1.7326,4.42,143.19,0.452,0.16
mol_1729,"CON1C2=NNC(CN)C2C(C2CCSC2)CC1O",0.4954,5.599,1.5874,5.43,286.40,0.666,-0.20
mol_1730,"NC1CC2OCCC2CN1",0.4954,5.534,1.7103,4.57,142.20,0.487,-0.33
mol_1731,"N#CC1CCC(=N)CC1",0.4954,5.487,1.8046,3.76,122.17,0.522,1.72
mol_1732,"CC1(C(N)O)CC1",0.4953,5.487,1.8050,3.84,101.15,0.459,0.06
mol_1733,"CC1CCNC(N)CS1",0.4951,5.526,1.7258,4.48,146.26,0.519,0.39
mol_1734,"CC1C(N)NCCN1C",0.4950,5.504,1.7705,4.21,129.21,0.449,-0.81
mol_1735,"OC1CC(C(F)(F)F)CCN1",0.4949,5.486,1.8068,3.96,169.15,0.563,0.87
mol_1736,"OC1NCCCC1I",0.4947,5.510,1.7581,4.29,227.04,0.466,0.49
mol_1737,"CCC(N)=O",0.4946,5.485,1.8084,1.88,73.09,0.462,-0.12
mol_1738,"CCC(N)=O",0.4946,5.485,1.8084,1.88,73.09,0.462,-0.12
mol_1739,"CCC(N)=O",0.4946,5.485,1.8084,1.88,73.09,0.462,-0.12
mol_1740,"CC1CCC2(C)OC2O1",0.4945,5.518,1.7424,4.39,128.17,0.459,1.30
mol_1741,"OC1CC(I)=CC(F)C1O",0.4944,5.554,1.6719,4.85,258.03,0.630,0.77
mol_1742,"NC1CCC(Br)C(O)=C1O",0.4944,5.524,1.7295,4.48,208.05,0.524,1.20
mol_1743,"N=CCCN1C(N)C(=O)NCC(OCCN)C1O",0.4943,5.554,1.6711,4.86,259.31,0.332,-2.60
mol_1744,"NC(N)C1NCC2NC(=O)CCCC21",0.4943,5.525,1.7283,4.49,198.27,0.385,-1.51
mol_1745,"NC(=O)C1CCCN1",0.4943,5.484,1.8104,2.93,114.15,0.470,-0.78
mol_1746,"NC1CCC(C2CNC(NCC(O)O)NC2O)CC1",0.4942,5.533,1.7116,4.60,274.37,0.291,-2.18
mol_1747,"CC(CCN)NC(=O)C1NNCC1C1NC(C)NC(C)N=C1O",0.4938,5.584,1.6148,5.27,327.43,0.315,-1.86
mol_1748,"OC1(CC2=CCCC3NCCNC23)CCCCC1",0.4937,5.490,1.7993,4.08,250.39,0.654,1.72
mol_1749,"CCC(C)(C)CNCO",0.4937,5.483,1.8133,3.00,131.22,0.557,0.96
mol_1750,"CC(CO)C1C(N)CC(O)C2NC3C(=C(S)C21)NCCC3N",0.4937,5.604,1.5771,5.56,328.48,0.318,-1.26
mol_1751,"CC1CCCCN1",0.4936,5.483,1.8137,2.80,99.18,0.480,1.15
mol_1752,"CC1OCCCC2NC3NCNC(N=O)N3C21",0.4936,5.600,1.5849,5.50,241.29,0.528,-0.69
mol_1753,"CC1CCCC(N)C1O",0.4936,5.483,1.8140,3.39,129.20,0.500,0.49
mol_1754,"NCC1=C(NC2=C(C3CNCNN3)CCCC2)CCS1",0.4935,5.542,1.6942,4.73,295.46,0.527,0.73
mol_1755,"NC1CCC(O)CCN1",0.4934,5.482,1.8151,3.94,130.19,0.410,-0.59
mol_1756,"CCCN",0.4933,5.482,1.8155,2.01,59.11,0.463,0.36
mol_1757,"CCCN",0.4933,5.482,1.8155,2.01,59.11,0.463,0.36
mol_1758,"CC(C)(F)CN",0.4932,5.482,1.8161,2.60,91.13,0.505,0.69
mol_1759,"OC1CC(C(F)F)CCN1",0.4930,5.511,1.7551,4.36,151.16,0.574,0.57
mol_1760,"CC1(CO)CC(=O)NC(O)C1",0.4930,5.512,1.7549,4.36,159.19,0.470,-0.79
mol_1761,"NC1C=CCCC1",0.4929,5.481,1.8174,3.66,97.16,0.449,1.05
mol_1762,"CC1CCCC(O)C1ON",0.4929,5.481,1.8174,3.93,145.20,0.526,0.43
mol_1763,"CCC1=CNC=C=C1C",0.4929,5.545,1.6892,4.78,121.18,0.523,1.94
mol_1764,"N=C1NCCC(C2CCCN2)N1",0.4929,5.508,1.7625,4.32,168.24,0.432,-0.38
mol_1765,"COC(F)C1CC(N2CCCC2C=N)CC1=O",0.4928,5.556,1.6668,4.93,242.29,0.758,1.39
mol_1766,"NC1=C=C=CCC=C1I",0.4928,5.607,1.5730,5.62,231.04,0.499,1.86
mol_1767,"CCC(C)O",0.4926,5.480,1.8192,2.43,74.12,0.487,0.78
mol_1768,"CCC(C)O",0.4926,5.480,1.8192,2.43,74.12,0.487,0.78
mol_1769,"CCC(C)O",0.4926,5.480,1.8192,2.43,74.12,0.487,0.78
mol_1770,"CCC(C)O",0.4926,5.480,1.8192,2.43,74.12,0.487,0.78
mol_1771,"CCC(C)O",0.4926,5.480,1.8192,2.43,74.12,0.487,0.78
mol_1772,"CC1C#CC(O)C(C)(C)CCC1",0.4926,5.555,1.6698,4.92,166.26,0.547,2.20
mol_1773,"O=CC1CCCCC1NCCO",0.4925,5.480,1.8195,3.51,171.24,0.599,0.33
mol_1774,"COC1CCCCC(O)C1",0.4925,5.480,1.8196,2.88,144.21,0.562,1.33
mol_1775,"CN=C=NCC(C)Br",0.4925,5.569,1.6426,5.11,177.04,0.451,1.57
mol_1776,"CC1CCCC2=NOC(C)C2C1",0.4924,5.486,1.8075,4.07,167.25,0.543,2.59
mol_1777,"NC1CC2CCNC3NNC(C1O)C23",0.4924,5.582,1.6183,5.29,198.27,0.314,-1.89
mol_1778,"CCCC(N)OCC",0.4924,5.480,1.8204,3.22,117.19,0.560,1.11
mol_1779,"CC1CCC(Cl)CN1",0.4923,5.479,1.8211,3.91,133.62,0.493,1.37
mol_1780,"CN=C1CC2(CO2)C(C(C)O)N1",0.4922,5.606,1.5741,5.63,170.21,0.523,-0.47
mol_1781,"CC1CNC=C(SS)C1OCCO",0.4921,5.554,1.6717,4.92,221.35,0.490,1.02
mol_1782,"NCC1CC(F)CCC1CO",0.4919,5.479,1.8228,3.91,161.22,0.626,0.69
mol_1783,"CN1NC(CO)C2=C(Cl)CCCC21",0.4919,5.508,1.7612,4.36,202.68,0.662,0.84
mol_1784,"C=C=C=CC(NO)C1CCCCC1CC(O)O",0.4919,5.560,1.6592,5.01,239.31,0.332,1.34
mol_1785,"CC1=CC(=C(N)O)NS1",0.4919,5.507,1.7630,4.35,144.20,0.348,0.83
mol_1786,"CC1=C(C(C)C)C=CNC1N",0.4919,5.507,1.7643,4.34,152.24,0.595,1.36
mol_1787,"NCNC1C2=CC2CC2NCCC21",0.4915,5.574,1.6327,5.21,179.27,0.406,-0.20
mol_1788,"NC1CC=C2C=CNC(O)C2N1",0.4915,5.586,1.6107,5.37,167.21,0.373,-1.01
mol_1789,"CNC1=CCN=CC1O",0.4914,5.549,1.6814,4.88,126.16,0.499,-0.47
mol_1790,"CNC1CC(C)NC(O)C1C",0.4914,5.526,1.7256,4.59,158.25,0.500,-0.09
mol_1791,"CC1CC(C(=O)CCC2NNC3N=C=C=NC(=C3O)C(=O)CCN=C(O)CCCC(C)CN3CCC2CC3)C1",0.4914,5.682,1.4417,6.79,540.71,0.429,3.30
mol_1792,"COC(O)=C1CC(=CC2CNC3NC=C=C(C(O)O)CC23)C2=C=C(C)C(=O)NC21",0.4914,5.645,1.5045,6.22,399.45,0.228,0.21
mol_1793,"CC1(O)CCCC1",0.4913,5.477,1.8262,2.53,100.16,0.486,1.31
mol_1794,"CC1CNC(=N)C(C(N)O)C1",0.4912,5.550,1.6787,4.90,157.22,0.387,-0.51
mol_1795,"OC1=CCCC(F)C1",0.4912,5.482,1.8161,4.06,116.14,0.512,1.95
mol_1796,"NNC1CCC(I)CC1O",0.4912,5.520,1.7382,4.52,256.09,0.271,0.17
mol_1797,"OCCC1CCNC(O)C1O",0.4911,5.490,1.7984,4.16,161.20,0.404,-1.34
mol_1798,"N#CC(CO)C1CCCCC1",0.4911,5.476,1.8275,3.19,153.22,0.656,1.70
mol_1799,"CC1CCNC2=NC=C=C=C(C3CCCCC3)C21",0.4909,5.549,1.6810,4.90,242.37,0.700,3.42
mol_1800,"CCCC1C(O)N1C",0.4908,5.476,1.8287,3.81,115.18,0.527,0.42
mol_1801,"CCCCC(N)CN(CC(O)O)C(C)O",0.4908,5.475,1.8292,3.83,220.31,0.412,-0.55
mol_1802,"OC1=NCNC2NCNC3NCCC1C32",0.4905,5.597,1.5896,5.56,211.27,0.338,-1.47
mol_1803,"CCCCC(=N)C(N)F",0.4904,5.475,1.8311,3.70,132.18,0.441,1.45
mol_1804,"CC1CC(O)C(O)=C2SCNC2N1",0.4899,5.566,1.6483,5.15,202.28,0.449,0.12
mol_1805,"NCC=C(N)C1CCCC2NNC3C(Cl)CCNC3C21",0.4898,5.583,1.6160,5.38,299.85,0.464,0.02
mol_1806,"COC1C=CC(O)CCC1",0.4897,5.473,1.8351,3.70,142.20,0.555,1.10
mol_1807,"C=CC=CC(O)C1CN(C)C(N)S1",0.4896,5.570,1.6406,5.21,200.31,0.647,0.38
mol_1808,"ON1CCCC(Br)C1",0.4896,5.473,1.8354,3.89,180.04,0.567,1.23
mol_1809,"ClC1CCN=NC1",0.4896,5.552,1.6753,4.97,118.57,0.430,1.45
mol_1810,"CCC1=C(O)CCC(N)C1",0.4894,5.472,1.8364,3.74,141.21,0.584,1.72
mol_1811,"CCC(CN)N(C)C=O",0.4894,5.472,1.8365,3.69,130.19,0.536,-0.19
mol_1812,"CC(C)C(O)C1OC2C(F)CCCC2C1O",0.4893,5.521,1.7353,4.59,232.29,0.754,1.27
mol_1813,"CC(C)(C)C1CCNC(=N)C1O",0.4892,5.505,1.7689,4.39,170.26,0.507,0.98
mol_1814,"CC(O)CCN",0.4892,5.471,1.8378,2.93,89.14,0.488,-0.28
mol_1815,"FC1CCC2=CNCCC2C1",0.4891,5.497,1.7848,4.30,155.22,0.564,2.00
mol_1816,"CCC(O)N(C)CC(O)N1CCNC1C=N",0.4889,5.555,1.6698,5.03,230.31,0.342,-1.15
mol_1817,"CCCCC(O)=CO",0.4887,5.470,1.8403,2.97,116.16,0.554,2.13
mol_1818,"CC1=NC2CC(C(O)O)CCC2C(O)N1",0.4886,5.535,1.7075,4.79,214.27,0.440,-0.58
mol_1819,"NC1=NCCCC1CC(N)O",0.4885,5.491,1.7959,4.26,157.22,0.469,-0.58
mol_1820,"OC1CCCCC2OCNC12",0.4883,5.481,1.8170,4.14,157.21,0.529,0.24
mol_1821,"COC1CCCCC1OC1C(C(C)CN)NC(O)C1OC",0.4882,5.532,1.7135,4.76,302.42,0.651,0.23
mol_1822,"NC1CC2CCCC3C=CNC1C32",0.4881,5.548,1.6829,4.97,178.28,0.585,1.24
mol_1823,"CN1CCC(C(=N)O)C1",0.4881,5.468,1.8440,3.40,128.18,0.398,0.47
mol_1824,"CC(C)NC1CCNCNC(C)C1",0.4880,5.468,1.8441,3.80,185.31,0.592,0.67
mol_1825,"NC1CCC2CCN=C(O)C12",0.4880,5.504,1.7709,4.41,154.21,0.539,0.70
mol_1826,"CNCC(F)(F)F",0.4879,5.468,1.8449,2.67,113.08,0.529,0.77
mol_1827,"NCC(C1CCNN1C1CCCN1)N1CNC(CCC(O)O)NC2=C(O)CCNC21",0.4878,5.604,1.5774,5.73,426.57,0.200,-2.44
mol_1828,"NC1=NC2=CC(Cl)CCC2C(O)N1",0.4876,5.546,1.6868,4.96,201.66,0.488,0.12
mol_1829,"CC1CC(N)(N)N=CC1O",0.4874,5.547,1.6854,4.97,143.19,0.381,-0.97
mol_1830,"CCC(CC)OC",0.4874,5.467,1.8477,2.46,102.18,0.528,1.82
mol_1831,"CC1OC=CC1C1CCCNC(CC#CN(C)C)C1O",0.4873,5.561,1.6576,5.16,278.40,0.588,1.18
mol_1832,"C#CCCC1C=C=C=CCC1O",0.4873,5.602,1.5809,5.72,160.22,0.481,1.65
mol_1833,"NC1CCC(O)CC1N",0.4870,5.466,1.8496,3.79,130.19,0.401,-0.81
mol_1834,"CC1CCNC(O)C1OC(F)(F)F",0.4869,5.490,1.7981,4.29,199.17,0.657,0.84
mol_1835,"CN1C(=O)CCCC12CCOC2=O",0.4869,5.465,1.8506,3.92,183.21,0.508,0.31
mol_1836,"ONCCCI",0.4868,5.465,1.8510,3.66,201.01,0.306,0.79
mol_1837,"COC(C)C1=CNCCC1C1=C=C=CC1N(O)O",0.4864,5.619,1.5507,5.98,250.30,0.517,1.21
mol_1838,"NC1CC=CC(I)C1O",0.4862,5.536,1.7056,4.88,239.06,0.366,0.44
mol_1839,"CCCC(=N)NCC",0.4861,5.463,1.8547,3.11,114.19,0.422,1.37
mol_1840,"NCC1C=CC(Br)CCC1",0.4860,5.490,1.7987,4.31,204.11,0.513,2.06
mol_1841,"OC1CC(O)C2CCNC(O)C2C1",0.4860,5.509,1.7604,4.54,187.24,0.394,-0.95
mol_1842,"CCCC1C(N)NCC1C(N)O",0.4857,5.530,1.7188,4.80,173.26,0.420,-0.82
mol_1843,"CC(O)CCNO",0.4856,5.462,1.8576,3.37,105.14,0.433,-0.26
mol_1844,"NC1N=C(O)c2nc(n[nH]2)NC2CCCC(C2)NCCCCN1",0.4856,5.634,1.5241,6.23,322.42,0.397,0.05
mol_1845,"C=CCC(CC)C(O)NC",0.4852,5.463,1.8562,4.02,143.23,0.446,1.13
mol_1846,"NC1=NCCC=C1",0.4851,5.461,1.8604,3.81,96.13,0.463,0.30
mol_1847,"C1CCN2NNCC2C1",0.4851,5.475,1.8308,4.16,127.19,0.474,-0.14
mol_1848,"CCCOCC",0.4851,5.461,1.8607,1.75,88.15,0.474,1.43
mol_1849,"NC1=C2NNCC2CCCC1Br",0.4850,5.505,1.7678,4.52,232.13,0.542,0.83
mol_1850,"NCC1CNNC(=O)C2CCCCC12",0.4849,5.472,1.8358,4.14,197.28,0.554,0.00
mol_1851,"CSCC1NC(=O)OC1N",0.4849,5.500,1.7781,4.47,162.21,0.587,-0.26
mol_1852,"NC(N)NC1CCC(Cl)CC(O)C1",0.4846,5.470,1.8408,4.12,207.70,0.284,-0.31
mol_1853,"CC(F)(F)F",0.4846,5.459,1.8636,2.25,84.04,0.418,1.57
mol_1854,"NCC1CCC2NCCC2C1",0.4845,5.459,1.8641,3.65,154.26,0.584,0.72
mol_1855,"CCCC(O)C1CC2CC3C4C=C(CCC4CCC3C(O)NC1=O)NC1NC(CCC1C(C)C)C2C",0.4844,5.704,1.4061,7.34,501.76,0.399,4.13
mol_1856,"COC1CCC(O)C(CN)C1C",0.4843,5.459,1.8642,4.00,173.26,0.634,0.37
mol_1857,"CC1CCC(O)C(N)C1",0.4842,5.458,1.8654,3.47,129.20,0.500,0.49
mol_1858,"NC1NCC=C=C1C(F)(F)F",0.4842,5.554,1.6702,5.17,164.13,0.512,0.52
mol_1859,"NNC1CCCCC1",0.4838,5.457,1.8677,2.22,114.19,0.390,0.78
mol_1860,"CNC=C1CC(C)CC(=O)O1",0.4837,5.459,1.8646,4.02,155.20,0.574,1.02
mol_1861,"CNC(=O)C1CC(C)C2=NN=CC21",0.4835,5.529,1.7207,4.86,179.22,0.624,0.44
mol_1862,"NCC1=C=C(O)CC(O)CC1CCC=C=C=O",0.4834,5.577,1.6276,5.49,235.28,0.501,1.01
mol_1863,"C=C1CCCCC1NCO",0.4834,5.456,1.8703,3.60,141.21,0.444,1.02
mol_1864,"CC(O)CC(O)N1CN1",0.4831,5.517,1.7435,4.73,132.16,0.424,-1.15
mol_1865,"CCC(O)=C(N)C(Cl)C(C)C",0.4829,5.455,1.8729,3.86,177.67,0.514,2.39
mol_1866,"CC=CC(=N)O",0.4829,5.455,1.8731,3.83,85.11,0.363,1.10
mol_1867,"CC(=O)C(F)C1C=C(N)NCC1",0.4822,5.506,1.7656,4.62,172.20,0.630,0.32
mol_1868,"CC1(O)C(O)C(O)C(Br)C1O",0.4820,5.505,1.7671,4.62,227.05,0.383,-1.40
mol_1869,"O=C1OCCC2=C1CCS2",0.4820,5.452,1.8785,3.58,156.21,0.495,1.32
mol_1870,"C=C(C)C1C(C)CC2COC=C(C(C(N)=O)C(N)O)C21",0.4819,5.550,1.6785,5.18,280.37,0.522,0.74
mol_1871,"CNC(N)(O)CC(C)(O)CCO",0.4819,5.485,1.8094,4.38,178.23,0.324,-1.67
mol_1872,"CC1=C=C(N)C(N)(N)C(O)CN1",0.4817,5.545,1.6884,5.12,170.22,0.211,-2.09
mol_1873,"NC1NCCC2CC(C(O)O)CCC21",0.4817,5.493,1.7937,4.47,200.28,0.435,-0.39
mol_1874,"CN1CC(C(O)O)C2CNC3(CC3)C2C1O",0.4817,5.579,1.6231,5.57,228.29,0.413,-1.45
mol_1875,"CCN1NC(O)C(C(O)N2CCCCCC2)C12C=C2",0.4817,5.535,1.7081,4.99,267.37,0.641,0.26
mol_1876,"CCC1CNNC(O)C1CCO",0.4816,5.507,1.7645,4.65,174.24,0.463,-0.56
mol_1877,"NCC1CCNC(O)C1",0.4815,5.452,1.8792,4.01,130.19,0.438,-0.74
mol_1878,"COC(C)CC(C)(C)O",0.4815,5.451,1.8813,3.34,132.20,0.625,1.18
mol_1879,"C1=CC=CC2N=C=NC3C=C=NC(C=1)C32",0.4814,5.686,1.4350,7.15,195.22,0.524,1.42
mol_1880,"NC1C=CCCCN1",0.4812,5.452,1.8793,4.02,112.18,0.440,0.21
mol_1881,"NC(=O)C1CCCNC1",0.4811,5.450,1.8835,2.76,128.18,0.499,-0.53
mol_1882,"CC1=NC2=C(C(O)O)C(O)NCC3CCCCC3(O)C3N=NC(=C23)C1",0.4810,5.589,1.6057,5.72,348.40,0.437,0.35
mol_1883,"C=CCC(=O)NC1C2CCC(O)CC2C(N)C1C(C)NO",0.4809,5.531,1.7164,4.96,297.40,0.367,0.15
mol_1884,"CC1CCC(C(O)NC=N)NC1C(CCN)NC(=O)O",0.4807,5.549,1.6804,5.20,287.36,0.186,-0.76
mol_1885,"CCC1CC1S(O)(O)O",0.4805,5.478,1.8237,4.34,152.21,0.567,2.01
mol_1886,"N=C(O)CC1CC(Br)CCC1CO",0.4805,5.483,1.8139,4.39,250.14,0.408,2.08
mol_1887,"NOCCCC=C1NC(=C=CC(N)O)C2CCCCC12",0.4804,5.532,1.7136,5.00,279.38,0.263,1.27
mol_1888,"OC1NCC2CC=CCC21",0.4802,5.486,1.8069,4.44,139.20,0.479,0.49
mol_1889,"CC1CC(O)CCNN1",0.4801,5.479,1.8222,4.36,130.19,0.419,-0.38
mol_1890,"CCNC1NCC(C2CCCCN2)N1",0.4801,5.478,1.8248,4.34,198.31,0.498,-0.42
mol_1891,"NC1CCNC(O)CC1",0.4801,5.447,1.8893,3.91,130.19,0.410,-0.59
mol_1892,"CCCNC1NC(C)C(C2CC3NCCNC3C3C(O)CC(O)OC3C2)N1",0.4801,5.575,1.6317,5.56,383.54,0.319,-1.36
mol_1893,"OC(O)C1=CN2C(O)NCCC12",0.4800,5.523,1.7318,4.89,172.18,0.349,-1.87
mol_1894,"CC(=N)COC(C)F",0.4800,5.459,1.8650,4.13,119.14,0.559,1.36
mol_1895,"C1CC2CNCC2CN1",0.4800,5.447,1.8897,3.60,126.20,0.470,-0.18
mol_1896,"CC(F)(F)CCC(N)NO",0.4800,5.461,1.8592,4.16,154.16,0.412,0.69
mol_1897,"CCO",0.4800,5.447,1.8901,1.98,46.07,0.407,-0.00
mol_1898,"CCO",0.4800,5.447,1.8901,1.98,46.07,0.407,-0.00
mol_1899,"NC(N)(O)CC(O)CS",0.4799,5.476,1.8287,4.33,152.22,0.244,-1.77
mol_1900,"NC(N)(O)CC(O)CS",0.4799,5.476,1.8287,4.33,152.22,0.244,-1.77
mol_1901,"CCCC=NO",0.4798,5.447,1.8908,3.26,87.12,0.307,1.25
mol_1902,"NCC1CCNCC1",0.4798,5.447,1.8910,2.38,114.19,0.501,-0.06
mol_1903,"CC1C(C#N)=C(O)C(C(O)O)C1Br",0.4797,5.506,1.7657,4.70,248.08,0.470,0.66
mol_1904,"CC(O)C1C(C)CCCC1O",0.4797,5.446,1.8917,3.72,158.24,0.601,1.16
mol_1905,"OCCSO",0.4796,5.446,1.8919,3.81,94.14,0.480,0.18
mol_1906,"NC1CC(COO)=CCN1",0.4796,5.490,1.7989,4.50,144.17,0.282,-0.32
mol_1907,"CCC(O)C1CCCNC1",0.4796,5.446,1.8924,3.41,143.23,0.598,0.76
mol_1908,"OC1NCCC2NCCC12",0.4796,5.481,1.8177,4.40,142.20,0.418,-0.72
mol_1909,"CCCC(N)CC(C)CC",0.4795,5.446,1.8930,3.13,143.27,0.629,2.55
mol_1910,"CCCC1(N)NC1CC(O)O",0.4792,5.505,1.7675,4.70,160.22,0.317,-0.89
mol_1911,"CC(CO)OC1=CCCNC1N",0.4788,5.483,1.8134,4.45,172.23,0.539,-0.45
mol_1912,"NC(=O)CC1C(=O)NCCC1=CO",0.4788,5.444,1.8970,3.88,184.19,0.502,-0.56
mol_1913,"CC1C2C(O)C=CC(O)C2CC(O)N1C",0.4787,5.528,1.7228,4.99,213.28,0.477,-0.45
mol_1914,"C=C(C)NC(N)=NNC",0.4786,5.443,1.8979,3.82,128.18,0.268,-0.44
mol_1915,"CC(C)C(C)C(N)CN",0.4786,5.443,1.8980,3.57,130.23,0.586,0.56
mol_1916,"NC(N)NC(N)CC(O)CCO",0.4786,5.463,1.8562,4.22,178.24,0.243,-2.80
mol_1917,"CCC(N)CC1NNNC1S",0.4784,5.560,1.6596,5.42,176.29,0.371,-0.65
mol_1918,"CC1C(O)CCC(F)C1I",0.4783,5.491,1.7967,4.56,258.07,0.520,1.92
mol_1919,"C1NC2NNCN2N1",0.4783,5.585,1.6130,5.75,115.14,0.286,-2.30
mol_1920,"OC1NCCC2C=C(Br)CC21",0.4782,5.510,1.7581,4.79,218.09,0.640,1.21
mol_1921,"OCC1CC(O)NC(O)C1O",0.4778,5.501,1.7772,4.69,163.17,0.297,-2.41
mol_1922,"CC1C2=C3C(NCC2)NCC2CSC1N32",0.4776,5.546,1.6871,5.25,223.34,0.627,0.56
mol_1923,"CNC1=C(O)C(O)CCC1C(C)O",0.4774,5.480,1.8200,4.45,187.24,0.496,0.13
mol_1924,"CN1CC2CCC(O)C(NCCCF)=C2NC1=O",0.4774,5.463,1.8565,4.25,257.31,0.645,0.57
mol_1925,"C#CC(C)(C)CC=C",0.4771,5.439,1.9067,3.64,108.18,0.376,2.22
mol_1926,"OC1CCCC=C(N(O)O)N1",0.4767,5.484,1.8112,4.52,160.17,0.406,0.00
mol_1927,"C=NC(C)CC#CC(C)C",0.4765,5.478,1.8249,4.45,137.23,0.408,2.12
mol_1928,"COC1=CCCC(C2C=NN(C(C)CCNC3NC(=O)CC45CCC6(CCN4C3C5)CC6)C2)C1",0.4762,5.661,1.4772,6.91,469.67,0.599,3.23
mol_1929,"OC1CCC(Cl)C2=C1ONC2",0.4761,5.533,1.7125,5.13,175.62,0.528,0.54
mol_1930,"CNC1CCCNC(O)C1",0.4761,5.437,1.9127,3.77,144.22,0.472,-0.33
mol_1931,"CCC1CCNC(N)C1",0.4760,5.436,1.9134,3.86,128.22,0.545,0.68
mol_1932,"NC1NCC2CC(Br)CCC(C2)N1",0.4760,5.560,1.6604,5.48,248.17,0.554,0.74
mol_1933,"CC1(N)C=C(Cl)CCN1",0.4760,5.471,1.8385,4.39,146.62,0.530,0.78
mol_1934,"COCCC1C(=O)NC(=N)NC1O",0.4755,5.468,1.8452,4.37,187.20,0.437,-1.39
mol_1935,"CC(=O)C1C=CCNC1",0.4751,5.438,1.9094,4.05,125.17,0.512,0.35
mol_1936,"CC1CN2CC3CNCC3C2C1=O",0.4751,5.465,1.8515,4.35,180.25,0.557,-0.27
mol_1937,"CC(=O)CNC(O)CO",0.4749,5.433,1.9204,3.64,133.15,0.407,-1.52
mol_1938,"C1=NCCCCC1",0.4747,5.433,1.9216,3.12,97.16,0.435,1.63
mol_1939,"CC(O)C1CCC2NCCC21",0.4746,5.449,1.8859,4.18,155.24,0.586,0.76
